model,accuracy,balanced_accuracy,macro_f1,weighted_f1
dummy_most_frequent,0.501801015728125,0.16666666666666666,0.11137760827895798,0.33533638178250197
logistic_regression,0.9304203861556704,0.9564352870725142,0.7903402365223134,0.9361439576117525
random_forest,0.9754345929256997,0.9635069888002478,0.9535438564572524,0.97545923444203
hist_gradient_boosting,0.9918786495737969,0.9776639631759861,0.9723578891410408,0.9918906140583706
