model,label,precision,recall,f1-score,support
dummy_most_frequent,Unidentified,0.0,0.0,0.0,240.0
dummy_most_frequent,Immune,0.0,0.0,0.0,18477.0
dummy_most_frequent,Endothelial,0.0,0.0,0.0,354.0
dummy_most_frequent,Mesenchymal-like,0.0,0.0,0.0,1886.0
dummy_most_frequent,Tumor,0.0,0.0,0.0,1311.0
dummy_most_frequent,Keratin-positive tumor,0.501801015728125,1.0,0.6682656496737479,22429.0
dummy_most_frequent,accuracy,0.501801015728125,0.501801015728125,0.501801015728125,0.501801015728125
dummy_most_frequent,macro avg,0.08363350262135416,0.16666666666666666,0.11137760827895798,44697.0
dummy_most_frequent,weighted avg,0.2518042593857779,0.501801015728125,0.33533638178250197,44697.0
logistic_regression,Unidentified,0.39,0.975,0.5571428571428572,240.0
logistic_regression,Immune,0.9803425681112772,0.9230935757969367,0.9508571428571428,18477.0
logistic_regression,Endothelial,0.6236559139784946,0.9830508474576272,0.7631578947368421,354.0
logistic_regression,Mesenchymal-like,0.6550073637702504,0.9432661717921527,0.7731421121251629,1886.0
logistic_regression,Tumor,0.5956561922365989,0.9832189168573608,0.7418705035971223,1311.0
logistic_regression,Keratin-positive tumor,0.9821268990169795,0.9309822105310089,0.955870908674754,22429.0
logistic_regression,accuracy,0.9304203861556704,0.9304203861556704,0.9304203861556704,0.9304203861556704
logistic_regression,macro avg,0.7044648228522666,0.9564352870725142,0.7903402365223134,44697.0
logistic_regression,weighted avg,0.95023239140625,0.9304203861556704,0.9361439576117525,44697.0
random_forest,Unidentified,0.9156626506024096,0.95,0.9325153374233128,240.0
random_forest,Immune,0.9735587342869527,0.9724522379174109,0.9730051715268189,18477.0
random_forest,Endothelial,0.8663239074550129,0.9519774011299436,0.9071332436069987,354.0
random_forest,Mesenchymal-like,0.965964343598055,0.9480381760339343,0.9569173133529569,1886.0
random_forest,Tumor,0.9639097744360903,0.9778794813119756,0.970844377129875,1311.0
random_forest,Keratin-positive tumor,0.981000802782981,0.9806946364082215,0.9808476957035518,22429.0
random_forest,accuracy,0.9754345929256997,0.9754345929256997,0.9754345929256997,0.9754345929256997
random_forest,macro avg,0.9444033688602502,0.9635069888002478,0.9535438564572524,44697.0
random_forest,weighted avg,0.9755295412384457,0.9754345929256997,0.97545923444203,44697.0
hist_gradient_boosting,Unidentified,0.91015625,0.9708333333333333,0.9395161290322581,240.0
hist_gradient_boosting,Immune,0.9909763873129086,0.99258537641392,0.9917802292883409,18477.0
hist_gradient_boosting,Endothelial,0.9352112676056338,0.9378531073446328,0.9365303244005642,354.0
hist_gradient_boosting,Mesenchymal-like,0.9810226673695308,0.986744432661718,0.9838752312979117,1886.0
hist_gradient_boosting,Tumor,0.9915514592933948,0.984744469870328,0.9881362418675852,1311.0
hist_gradient_boosting,Keratin-positive tumor,0.9953976764968722,0.9932230594319854,0.994309178959584,22429.0
hist_gradient_boosting,accuracy,0.9918786495737969,0.9918786495737969,0.9918786495737969,0.9918786495737969
hist_gradient_boosting,macro avg,0.9673859513463902,0.9776639631759861,0.9723578891410408,44697.0
hist_gradient_boosting,weighted avg,0.9919162403976536,0.9918786495737969,0.9918906140583706,44697.0
